"Year","Area","Street","Street.2"
2011,"Birmingham","Bristol Rd Northfield",""
2011,"Birmingham","Bristol Rd Selly Oak",""
2011,"Birmingham","Bristol Rd Selly Oak",""
2011,"Birmingham","Bristol Rd Selly Oak",""
2011,"Birmingham","Bristol Rd South, Northfield",""
2011,"Birmingham","Bristol Rd South, Selly Oak",""
2011,"Birmingham","Bristol Rd, Selly Oak",""
2011,"Birmingham","Bristol Rd, Selly Oak",""
2011,"Birmingham","Bristol Rd, Selly Oak",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St, City Centre",""
2011,"Birmingham","Broad St, City Centre",""
2011,"Birmingham","Brook Ln",""
2011,"Birmingham","Bunburry Rd",""
2011,"Birmingham","Bunburry Rd",""
2011,"Birmingham","Burnhill Grove,Weoley Castle,Birmingham",""
2011,"Birmingham","Car Park Of Bournville Ln P/Stn",""
2011,"Birmingham","Chinbrook Rd, Billsley",""
2011,"Birmingham","Church Hill Nortthfield",""
2011,"Birmingham","Church Rd",""
2011,"Birmingham","Compton Rd, Cradley Heath",""
2011,"Birmingham","Costcutters, Ardern Rd",""
2011,"Birmingham","Dawberry Rd",""
2011,"Birmingham","Dawlish Rd",""
2011,"Birmingham","Dingle Club",""
2011,"Birmingham","Doddington Rd",""
2011,"Birmingham","Dog Kennel Ln",""
2011,"Birmingham","Dog Pool Ln",""
2011,"Birmingham","Downfield Drive",""
2011,"Birmingham","Dudley Bus Station",""
2011,"Birmingham","Dwellings Ln",""
2011,"Birmingham","Eafo",""
2011,"Birmingham","Edgbaston Cricket Ground",""
2011,"Birmingham","Edgbaston Park Rd",""
2011,"Birmingham","Exeter Rd / Hubert Rd",""
2011,"Birmingham","Fordhouse Ln",""
2011,"Birmingham","Four Acres,Quinton",""
2011,"Birmingham","Frogmill Rd, Frankley",""
2011,"Birmingham","Genners Ln",""
2011,"Birmingham","Glastonbury Rd",""
2011,"Birmingham","Great Park Rubery",""
2011,"Birmingham","Griffins Brook Ln",""
2011,"Birmingham","Grosvenor Shopping Centre",""
2011,"Birmingham","Hagley Rd",""
